"company","sum"
"WanderJaunt","141"
"Pagaya","140"
"Reali","140"
"Bizongo","140"
"Callisto Media","140"
"DraftKings","140"
"GoodRx","140"
"LEAD","140"
"ContaAzul","140"
"ChowNow","140"
"Yojak","140"
"Impossible Foods copy","140"
"Bonterra ","140"
"Foodpanda","140"
"Packable","138"
"SSense","138"
"Bluprint","137"
"Benevity","137"
"Omie","136"
"Andela","135"
"Dapper Labs","134"
"Ula","134"
"TouchBistro","131"
"Takl","130"
"Quanterix","130"
"AppGate","130"
"GitLab","130"
"CarGurus","130"
"Validity","130"
"ID.me","130"
"Liftoff","130"
"SirionLabs","130"
"Guardant Health","130"
"Blueground","130"
"Outreach","130"
"Amount","130"
"Wonder","130"
"Evernote","129"
"Veriff","129"
"Mindstrong","127"
"Gusto","126"
"Bark","126"
"PeerStreet","126"
"Westwing","125"
"Malwarebytes","125"
"EasyPost","125"
"NCC Group","125"
"Tipalti","123"
"TripleLift","123"
"Cyren","121"
"Curefit","120"
"ScaleFocus","120"
"Till Payments","120"
"Soluto","120"
"SimilarWeb","120"
"Khoros","120"
"Breather","120"
"SmartNews","120"
"Captain Fresh ","120"
"Greenhouse Software","120"
"Trustly","120"
"Deliveroo Australia","120"
"BioMarin","120"
"UpGrad","120"
"Fabric","120"
"RigUp","120"
"Miro","119"
"Nomad Health","119"
"Pear Therapeutics","118"
"Knock","115"
"Skit.ai","115"
"Homepoint","113"
"SoFi","112"
"Genesis","112"
"Virgin Hyperloop","111"
"Pier","111"
"Namely","110"
"Sidecar Health","110"
"Landing","110"
"NYDIG","110"
"Carousell","110"
"Varonis","110"
"Curative","109"
"Turo","108"
"Ethos Life","108"
"Synthego","105"
"Greenlight","104"
"SummerBio","101"
"Komodo Health","101"
"Lyric","100"
"eToro","100"
"Jumpcloud","100"
"Rock Content","100"
"Jumio","100"
"Getaround","100"
"Berlin Brands Group","100"
"Gem","100"
"Taboola","100"
"SumUp","100"
"ForeScout","100"
"Zipcar","100"
"Starry","100"
"Zak","100"
"Lemon","100"
"Bullhorn","100"
"Bright Money","100"
"Remote","100"
"Branch Metrics","100"
"Getir","100"
"Udayy","100"
"Saks.com","100"
"Ruggable","100"
"Hyperscience","100"
"Productboard","100"
"Bryter","100"
"eGym","100"
"Mobile Premier League","100"
"Envato","100"
"F5","100"
"Akulaku","100"
"Catch.com.au","100"
"Storytel","100"
"Cognyte","100"
"DealShare","100"
"EMX Digital","100"
"Circ","100"
"Cashfree Payments","100"
"Tul","100"
"Fifth Season","100"
"HP","100"
"Liv Up","100"
"PatientPop","100"
"Babylon","100"
"Lendi","100"
"Traveloka","100"
"Adaptive Biotechnologies","100"
"Polygon","100"
"Checkmarx","100"
"Highspot","100"
"Pacaso","100"
"Flatiron School","100"
"Adobe","100"
"nCino","100"
"Wefox","100"
"10X Genomics","100"
"NSO","100"
"Synopsys","100"
"Checkout.com","100"
"Veev","100"
"Salesloft","100"
"Snappy","100"
"Willow","99"
"The Predictive Index","99"
"Colossus","97"
"Pavilion Data","96"
"Edgio","95"
"WHOOP","95"
"Culture Trip","95"
"54gene","95"
"BlackLine","95"
"PetLove","94"
"Newfront Insurance","94"
"PACT Pharma","94"
"GoFundMe","94"
"Back Market","93"
"Scoop","92"
"BitTorrent","92"
"Wheel","91"
"Skillz","91"
"Convoy","90"
"Calm","90"
"Industrious","90"
"Picsart","90"
"ApplyBoard","90"
"Matterport","90"
"Domo","90"
"Mural","90"
"ScaleFactor","90"
"Sunday","90"
"GetYourGuide","90"
"Science 37 ","90"
"Seegrid","90"
"The Zebra","90"
"Kueski","90"
"GumGum","90"
"Workato","90"
"Freshworks","90"
"Unison","89"
"Protocol Labs","89"
"Aqua Security","89"
"BloomTech","88"
"Brighte","88"
"Ibotta","87"
"Outside","87"
"Foodsby","87"
"Buy.com / Rakuten","87"
"Quandoo","87"
"Zenefits","87"
"Mejuri","86"
"Lever","86"
"Zego","85"
"Niantic","85"
"Funding Circle","85"
"Primer","85"
"Rev.com","85"
"Crunchyroll","85"
"Smartsheet","85"
"Sendy","84"
"Faire","84"
"Recharge","84"
"Ejento","84"
"Lambda School","84"
"Openpay","83"
"Fluke","83"
"Career Karma","82"
"Remedy","82"
"Care.com","81"
"Qumulo","80"
"RingCentral","80"
"Sketch","80"
"Bittrex","80"
"CoinDCX","80"
"Aqgromalin","80"
"Hologram","80"
"App Annie","80"
"AlayaCare","80"
"Sisense","80"
"Quartz","80"
"Sandbox VR","80"
"Lime","80"
"Pagarbook","80"
"Gong","80"
"LeafLink","80"
"Otonomo","80"
"Unbabel","80"
"Indigo","80"
"FabHotels","80"
